DATE,GOLD,WHEAT,NIKKEI,COPPER
02/01/2012,1802.9,1045.75,4938,3.509
03/01/2012,1836.6,1052.5,4938,3.60149999999999
04/01/2012,1848.8,1047.5,5023,3.50749999999999
05/01/2012,1856.2,1028.75,4983,3.49949999999999
06/01/2012,1852.9,1023.5,4878,3.50799999999999
09/01/2012,1844.2,1040,4878,3.489
10/01/2012,1867.6,1040,4903,3.58599999999999
11/01/2012,1875.7,1041,4918,3.619
12/01/2012,1883.8,1015.75,4858,3.72199999999999
13/01/2012,1866.9,1012.5,4978,3.70999999999999
16/01/2012,1866.9,1012.5,4978,3.70999999999999
17/01/2012,1891.7,1015.25,4948,3.80249999999999
18/01/2012,1896,999.5,5033,3.82549999999999
19/01/2012,1890.6,1002,5128,3.87349999999999
20/01/2012,1900.1,1005.5,5238,3.818
23/01/2012,1914.4,1018,5253,3.8715
24/01/2012,1900.6,1027,5268,3.8805
25/01/2012,1936.2,1029,5358,3.90249999999999
26/01/2012,1962.8,1036.75,5328,3.9745
27/01/2012,1968.3,1034.25,5318,3.96199999999999
30/01/2012,1967.1,1029.25,5273,3.89949999999999
31/01/2012,1973.1,1046.25,5288,3.86299999999999
01/02/2012,1982.2,1052.25,5278,3.915
02/02/2012,1992,1050.5,5353,3.854
03/02/2012,1973,1049,5323,3.9745
06/02/2012,1957.6,1052.25,5388,3.9375
07/02/2012,1981.1,1044.5,5388,3.949
08/02/2012,1964,1038,5483,3.98249999999999
09/02/2012,1973.9,1031,5493,4.05149999999999
10/02/2012,1958,1008.25,5489,3.935
13/02/2012,1957.6,1019.25,5519,3.9125
14/02/2012,1950.4,1011,5579,3.88749999999999
15/02/2012,1960.8,1009.25,5789,3.87449999999999
16/02/2012,1961.1,1009.5,5749,3.864
17/02/2012,1958.6,1020.5,5919,3.781
20/02/2012,1958.6,1020.5,5919,3.781
21/02/2012,1991.2,1015.75,6009,3.90949999999999
22/02/2012,2004,1022.75,6089,3.90649999999999
23/02/2012,2019,1017.5,6089,3.879
24/02/2012,2009.1,1013.75,6159,3.93599999999999
27/02/2012,2007.6,1021.25,6139,3.9535
28/02/2012,2021.1,1035.5,6279,3.98499999999999
29/02/2012,1944,1039.25,6229,3.94349999999999
01/03/2012,1954.9,1032.75,6229,3.995
02/03/2012,1942.5,1042.25,6279,3.9675
05/03/2012,1936.6,1038,6199,3.92499999999999
06/03/2012,1904.8,1025.25,6169,3.8025
07/03/2012,1916.6,1013,6099,3.83199999999999
08/03/2012,1931.4,1009,6279,3.85599999999999
09/03/2012,1944.2,1017.25,6465,3.922
12/03/2012,1944.2,1017.25,6465,3.922
13/03/2012,1926.9,1018.5,6460,3.966
14/03/2012,1875.6,1015.25,6640,3.91149999999999
15/03/2012,1892.2,1029.5,6675,3.95949999999999
16/03/2012,1888.5,1033,6680,3.93999999999999
19/03/2012,1900,1021,6700,3.9705
20/03/2012,1879.7,1012.5,6700,3.8925
21/03/2012,1883,1006.75,6630,3.9075
22/03/2012,1875.2,1015.5,6665,3.82849999999999
23/03/2012,1895.1,1024.25,6565,3.87149999999999
26/03/2012,1918.3,1030.25,6580,3.95
27/03/2012,1917.6,1015.75,6795,3.94349999999999
28/03/2012,1890.6,1007,6800,3.857
29/03/2012,1884.9,992.5,6735,3.8605
30/03/2012,1901.9,1037.75,6710,3.88799999999999
02/04/2012,1909.7,1033.25,6725,3.983
03/04/2012,1902,1030.75,6675,3.982
04/04/2012,1844.1,1011.25,6440,3.85449999999999
05/04/2012,1860.1,1006.5,6405,3.85899999999999
06/04/2012,1860.1,1006.5,6300,3.85899999999999
09/04/2012,1873.9,1010.25,6170,3.7825
10/04/2012,1890.7,995.5,6155,3.71249999999999
11/04/2012,1890.3,998.75,6065,3.70149999999999
12/04/2012,1910.6,1003.25,6155,3.782
13/04/2012,1890.2,991,6250,3.689
16/04/2012,1879.7,981,6080,3.6905
17/04/2012,1881.1,981.5,6075,3.70849999999999
18/04/2012,1869.6,980.25,6280,3.693
19/04/2012,1871.4,993,6220,3.6905
20/04/2012,1872.8,987.5,6175,3.761
