Dates,BTC1 Curncy,BTC1 Curncy,DCR1 Curncy,DCR1 Curncy,BGCI Index,BGCI Index,XBT Curncy,XBT Curncy,XET Curncy,XET Curncy,XBI Curncy,XBI Curncy,XRP Curncy,XRP Curncy,XAD Curncy,XAD Curncy,XSO Curncy,XSO Curncy,XDG Curncy,XDG Curncy,SPXT Index,SPXT Index,XNDX Index,XNDX Index,GC1 Comdty,GC1 Comdty
,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume,Last Price,Volume
2023-02-07,23455,706,1677.5,182,1166.54,#N/A N/A,23199.48,#N/A N/A,1667.895,#N/A N/A,332.2977,#N/A N/A,0.4018,#N/A N/A,0.3958,#N/A N/A,23.618,#N/A N/A,0.092,#N/A N/A,8879.91,675335283,15127.97,319503028,1876.5,1454
2023-02-06,23255,306,1659.5,144,1151.6,#N/A N/A,22916.21,#N/A N/A,1638.26,#N/A N/A,327.9151,#N/A N/A,0.3969,#N/A N/A,0.3877,#N/A N/A,23.0221,#N/A N/A,0.0912,#N/A N/A,8766.9,590026670,14814.48,252477541,1871.2,1593
2023-02-03,23620,525,1668.5,124,1170.77,#N/A N/A,23383.51,#N/A N/A,1657.647,#N/A N/A,329.0825,#N/A N/A,0.4107,#N/A N/A,0.4027,#N/A N/A,24.52,#N/A N/A,0.0923,#N/A N/A,8820.47,735516487,14941.88,344029351,1868.3,2596
2023-02-02,24180,487,1692.5,315,1186.87,#N/A N/A,23460.05,#N/A N/A,1637.05,#N/A N/A,323.7368,#N/A N/A,0.4094,#N/A N/A,0.3946,#N/A N/A,24.409,#N/A N/A,0.0906,#N/A N/A,8912.35,845209740,15214.71,408562078,1922.2,1871
2023-02-01,23890,328,1646.5,212,1156.4,#N/A N/A,23682.05,#N/A N/A,1635.299,#N/A N/A,317.9501,#N/A N/A,0.4133,#N/A N/A,0.3961,#N/A N/A,24.797,#N/A N/A,0.0944,#N/A N/A,8782.77,791134659,14691.33,350690934,1934.3,2188
2023-01-31,23375,3489,1598.5,3104,1128.55,#N/A N/A,22950.56,#N/A N/A,1577.458,#N/A N/A,311.4662,#N/A N/A,0.4051,#N/A N/A,0.3865,#N/A N/A,23.81,#N/A N/A,0.0951,#N/A N/A,8691.88,949382016,14380.74,317204040,1936.6,1910
2023-01-30,22950,5865,1561,5812,1101.96,#N/A N/A,22747.14,#N/A N/A,1556.831,#N/A N/A,302.5047,#N/A N/A,0.3933,#N/A N/A,0.37,#N/A N/A,23.79,#N/A N/A,0.0867,#N/A N/A,8566.28,591870717,14155.5,278949148,1930,27220
2023-01-27,23445,7950,1610.5,5229,1134.34,#N/A N/A,23092,#N/A N/A,1599.403,#N/A N/A,306.495,#N/A N/A,0.4116,#N/A N/A,0.3857,#N/A N/A,24.37,#N/A N/A,0.0874,#N/A N/A,8678.01,627301536,14456.22,344774379,1936.5,150902
2023-01-26,23460,8326,1619.5,3219,1128.87,#N/A N/A,23080.96,#N/A N/A,1603.002,#N/A N/A,304.48,#N/A N/A,0.4119,#N/A N/A,0.3799,#N/A N/A,24.393,#N/A N/A,0.0858,#N/A N/A,8656.26,609400783,14319.43,270510701,1937.1,223255
