,INTERESTRATES,EQUITYINDEX,VOLINDEX
2021-01-01,-0.569,,
2021-01-04,-0.604,7724.15,24.8416
2021-01-05,-0.577,7688.32,25.1986
2021-01-06,-0.52,7825.32,21.4423
2021-01-07,-0.522,7849.91,21.0154
2021-01-08,-0.519,7898.95,20.5276
2021-01-11,-0.496,7846.01,21.9797
2021-01-12,-0.468,7829.96,21.9516
2021-01-13,-0.522,7839.44,21.0937
2021-01-14,-0.55,7893.34,19.6932
2021-01-15,-0.543,7802.69,22.4344
2021-01-18,-0.527,7812.47,21.9473
2021-01-19,-0.526,7797.14,21.749
2021-01-20,-0.529,7859.2,20.2772
2021-01-21,-0.496,7846.87,19.9362
2021-01-22,-0.512,7812.31,21.317
2021-01-25,-0.55,7705.46,26.0059
2021-01-26,-0.533,7791.52,23.0994
2021-01-27,-0.546,7669.11,26.7698
2021-01-28,-0.539,7713.92,25.9287
2021-01-29,-0.518,7549.97,29.0082
2021-02-01,-0.516,7657.11,27.3261
2021-02-02,-0.489,7786.39,24.0219
2021-02-03,-0.464,7828.21,22.7195
2021-02-04,-0.454,7904.24,21.3727
2021-02-05,-0.448,7933.86,20.6436
2021-02-08,-0.445,7954.99,20.4375
2021-02-09,-0.446,7945.49,21.1232
2021-02-10,-0.437,7917.8,22.4678
2021-02-11,-0.458,7968.38,21.2082
2021-02-12,-0.428,8020.31,20.0616
2021-02-15,-0.381,8104.08,20.1531
2021-02-16,-0.348,8088.33,20.9294
2021-02-17,-0.368,8030.7,21.829
2021-02-18,-0.346,7989.87,22.5234
2021-02-19,-0.305,8060.25,20.4844
2021-02-22,-0.339,8030.71,21.6934
2021-02-23,-0.315,8007.37,23.1325
2021-02-24,-0.304,8044.02,21.4258
2021-02-25,-0.232,7999.08,22.0962
2021-02-26,-0.26,7893.07,26.8632
2021-03-01,-0.334,8045.39,22.1594
2021-03-02,-0.352,8047.78,21.8134
2021-03-03,-0.288,8060.26,21.6956
2021-03-04,-0.311,8044.4,22.0916
2021-03-05,-0.302,7967.75,25.0782
2021-03-08,-0.277,8171.18,20.8952
2021-03-09,-0.301,8220.73,20.2608
2021-03-10,-0.313,8294.27,19.6671
2021-03-11,-0.334,8350.1,18.8846
2021-03-12,-0.306,8323.45,18.7087
2021-03-15,-0.334,8315.8,18.6234
2021-03-16,-0.336,8361.65,17.5488
2021-03-17,-0.291,8359.0,17.5706
2021-03-18,-0.264,8399.06,17.4622
2021-03-19,-0.294,8332.79,18.395
2021-03-22,-0.311,8325.88,17.6826
2021-03-23,-0.341,8311.08,17.5964
2021-03-24,-0.353,8323.07,17.7712
2021-03-25,-0.384,8326.91,18.8836
2021-03-26,-0.346,8401.01,17.112
2021-03-29,-0.318,8436.19,18.348
2021-03-30,-0.286,8530.32,18.4722
2021-03-31,-0.292,8515.14,17.9742
2021-04-01,-0.328,8575.74,16.8956
2021-04-02,-0.328,,
2021-04-05,-0.328,,
2021-04-06,-0.316,8634.7,17.1057
2021-04-07,-0.324,8605.03,16.6645
2021-04-08,-0.336,8650.83,16.1602
2021-04-09,-0.303,8653.02,16.1768
2021-04-12,-0.293,8616.17,17.0514
2021-04-13,-0.292,8627.25,16.3086
2021-04-14,-0.258,8647.46,16.1903
2021-04-15,-0.29,8684.76,15.7081
2021-04-16,-0.262,8771.83,16.1131
2021-04-19,-0.235,8746.04,17.2101
2021-04-20,-0.262,8578.04,21.0797
2021-04-21,-0.262,8656.29,19.2813
2021-04-22,-0.252,8739.86,17.7562
2021-04-23,-0.257,8736.68,18.1883
2021-04-26,-0.253,8752.98,18.2841
2021-04-27,-0.249,8735.71,19.2123
2021-04-28,-0.231,8746.78,18.377
2021-04-29,-0.193,8710.86,18.8768
2021-04-30,-0.202,8670.31,20.6309
2021-05-03,-0.204,8727.89,19.9314
2021-05-04,-0.238,8565.0,22.8185
2021-05-05,-0.228,8743.33,19.9042
2021-05-06,-0.225,8744.7,20.3775
2021-05-07,-0.215,8830.29,18.3838
2021-05-10,-0.212,8814.38,18.5019
2021-05-11,-0.161,8645.06,22.5573
2021-05-12,-0.123,8648.04,23.9387
2021-05-13,-0.12,8666.07,23.3498
2021-05-14,-0.129,8808.57,19.5457
2021-05-17,-0.115,8788.17,21.8052
2021-05-18,-0.103,8784.88,21.3082
2021-05-19,-0.11,8634.43,24.4802
2021-05-20,-0.109,8774.26,22.1023
2021-05-21,-0.13,8831.01,20.3521
2021-05-24,-0.14,8860.27,19.2364
2021-05-25,-0.167,8861.3,19.0816
2021-05-26,-0.206,8851.7,18.2823
2021-05-27,-0.172,8868.24,17.8227
2021-05-28,-0.183,8937.8,17.1662
2021-05-31,-0.187,8869.85,19.0981
2021-06-01,-0.178,8940.76,18.7726
2021-06-02,-0.198,8978.9,17.8481
2021-06-03,-0.183,8958.57,18.2446
2021-06-04,-0.213,8980.83,17.376
2021-06-07,-0.198,8998.99,17.711
2021-06-08,-0.224,8995.39,17.7247
2021-06-09,-0.244,8997.23,17.2322
2021-06-10,-0.256,8995.54,16.6565
2021-06-11,-0.274,9062.79,15.1511
2021-06-14,-0.251,9075.9,16.0495
2021-06-15,-0.232,9099.74,16.4055
2021-06-16,-0.25,9117.82,16.1772
2021-06-17,-0.195,9131.83,17.0804
2021-06-18,-0.2,8967.63,20.7634
2021-06-21,-0.171,9031.24,19.4847
2021-06-22,-0.164,9054.94,17.5733
2021-06-23,-0.178,8952.3,18.549
2021-06-24,-0.188,9058.28,17.3518
2021-06-25,-0.155,9054.4,16.6823
2021-06-28,-0.19,8986.83,17.6455
2021-06-29,-0.17,9025.51,16.9495
2021-06-30,-0.207,8930.55,18.1849
2021-07-01,-0.201,8962.62,17.7267
2021-07-02,-0.235,8974.52,16.5747
2021-07-05,-0.21,8981.25,16.7545
2021-07-06,-0.268,8904.99,18.1255
2021-07-07,-0.298,8962.43,17.3168
2021-07-08,-0.307,8775.07,19.9652
2021-07-09,-0.293,8943.1,17.9506
2021-07-12,-0.295,8998.68,17.9521
2021-07-13,-0.294,9001.29,17.9989
2021-07-14,-0.319,9012.14,17.6841
2021-07-15,-0.334,8917.38,18.642
2021-07-16,-0.353,8872.03,19.4537
2021-07-19,-0.386,8639.37,25.4361
2021-07-20,-0.41,8700.52,24.4923
2021-07-21,-0.395,8855.22,21.5241
2021-07-22,-0.426,8926.39,19.9131
2021-07-23,-0.42,9038.46,17.5527
2021-07-26,-0.418,9024.13,18.5323
2021-07-27,-0.441,8941.07,21.3563
2021-07-28,-0.45,9025.1,19.4809
2021-07-29,-0.45,9055.33,19.2556
2021-07-30,-0.461,8994.89,20.9392
2021-08-02,-0.487,9055.0,19.8395
2021-08-03,-0.482,9057.91,20.2233
2021-08-04,-0.501,9117.2,19.2129
2021-08-05,-0.498,9152.8,18.2492
2021-08-06,-0.456,9182.4,17.8883
2021-08-09,-0.46,9188.12,17.5508
2021-08-10,-0.457,9211.61,17.2752
2021-08-11,-0.464,9252.32,17.038
2021-08-12,-0.46,9296.31,16.1073
2021-08-13,-0.467,9304.88,15.8002
2021-08-16,-0.469,9244.9,18.0025
2021-08-17,-0.471,9231.6,18.3901
2021-08-18,-0.482,9216.25,18.4705
2021-08-19,-0.489,9073.91,22.1296
2021-08-20,-0.495,9124.03,20.1509
2021-08-23,-0.481,9187.65,17.8943
2021-08-24,-0.478,9191.32,18.0943
2021-08-25,-0.422,9198.01,17.8302
2021-08-26,-0.407,9173.24,19.0944
2021-08-27,-0.423,9219.68,17.6003
2021-08-30,-0.439,9236.89,17.498
2021-08-31,-0.383,9231.64,18.7654
2021-09-01,-0.373,9299.52,17.4679
2021-09-02,-0.385,9311.53,16.9721
2021-09-03,-0.361,9245.25,18.1919
2021-09-06,-0.367,9342.4,17.5551
2021-09-07,-0.322,9295.94,18.6
2021-09-08,-0.323,9190.64,20.4927
2021-09-09,-0.361,9190.9,19.6412
2021-09-10,-0.33,9176.02,20.357
2021-09-13,-0.331,9218.22,20.7429
2021-09-14,-0.34,9222.93,20.4635
2021-09-15,-0.306,9122.3,21.6946
2021-09-16,-0.302,9174.95,21.6515
2021-09-17,-0.28,9089.08,23.1662
2021-09-20,-0.32,8899.49,26.4695
2021-09-21,-0.317,9021.9,25.5096
2021-09-22,-0.324,9137.9,22.8073
