,InsuranceUS2,InsuranceUS1,InsuranceEU1,InsuranceEU2
2021-01-04,304.157,52.465,48.747,252.14
2021-01-05,303.214,51.738,48.735,253.394
2021-01-06,302.171,51.613,47.863,248.474
2021-01-07,294.084,50.118,47.946,249.176
2021-01-08,292.141,49.653,47.56,246.449
2021-01-11,300.056,51.17,49.062,253.744
2021-01-12,301.532,51.549,50.303,263.33
2021-01-13,295.655,49.836,49.13,249.944
2021-01-14,295.739,50.073,49.372,250.732
2021-01-15,304.03,51.981,50.935,258.201
2021-01-18,,,51.254,258.306
2021-01-19,298.077,50.539,50.271,256.504
2021-01-20,297.123,50.758,48.673,246.886
2021-01-21,298.815,50.751,49.012,249.765
2021-01-22,305.117,51.078,48.881,253.564
2021-01-25,307.198,51.75,50.881,263.377
2021-01-26,310.239,52.686,50.007,260.094
2021-01-27,318.396,55.695,52.078,270.301
2021-01-28,317.116,55.436,51.832,267.43
2021-01-29,318.73,56.051,52.066,269.089
2021-02-01,311.594,54.986,51.571,266.32
2021-02-02,300.989,52.77,50.077,256.73
2021-02-03,296.37,52.619,48.726,248.427
2021-02-04,289.399,51.343,48.016,244.409
2021-02-05,285.791,50.804,47.653,242.839
2021-02-08,283.569,50.205,47.441,244.689
2021-02-09,287.243,50.78,47.948,246.599
2021-02-10,285.093,50.287,47.522,243.266
2021-02-11,286.171,50.256,46.995,240.416
2021-02-12,286.221,50.42,47.344,242.32
2021-02-15,,,46.151,236.363
2021-02-16,287.351,50.565,47.407,243.334
2021-02-17,288.006,50.279,47.908,245.976
2021-02-18,292.613,50.998,48.247,249.418
2021-02-19,295.388,51.621,47.489,246.249
2021-02-22,303.413,53.8,48.613,250.658
2021-02-23,297.528,52.821,49.532,255.355
2021-02-24,290.813,51.708,48.639,252.121
2021-02-25,311.487,56.225,50.726,263.312
2021-02-26,310.497,55.873,51.274,265.426
2021-03-01,292.503,52.711,48.268,246.897
2021-03-02,296.766,53.369,48.125,248.193
2021-03-03,302.482,54.595,48.537,250.437
2021-03-04,312.018,56.494,48.474,250.561
2021-03-05,300.709,53.645,50.245,257.309
2021-03-08,312.716,56.155,49.797,257.145
2021-03-09,310.144,55.12,48.954,253.108
2021-03-10,299.531,52.933,48.331,246.84
2021-03-11,295.214,52.569,46.575,237.463
2021-03-12,297.663,52.689,47.25,242.399
2021-03-15,296.811,51.607,47.454,244.535
2021-03-16,299.578,51.975,47.107,241.837
2021-03-17,293.636,50.892,47.741,243.973
2021-03-18,305.618,52.47,47.251,242.377
2021-03-19,301.316,52.106,47.09,243.599
2021-03-22,297.079,57.475,54.828,271.604
2021-03-23,303.855,57.967,54.221,271.341
2021-03-24,304.565,58.086,53.907,269.11
2021-03-25,301.264,57.644,54.537,271.173
2021-03-26,292.973,56.334,53.594,262.944
2021-03-29,314.146,56.168,54.102,263.596
2021-03-30,316.733,56.508,53.629,261.282
2021-03-31,308.148,53.985,52.072,252.324
2021-04-01,299.171,51.236,50.394,245.191
2021-04-02,296.317,50.713,,
2021-04-05,295.563,51.289,,
2021-04-06,294.202,51.619,50.599,245.704
2021-04-07,293.662,51.798,51.329,248.738
2021-04-08,291.127,50.985,50.471,244.536
2021-04-09,293.266,50.879,50.626,246.021
2021-04-12,294.937,50.98,51.189,248.723
2021-04-13,293.312,51.224,51.161,249.502
2021-04-14,292.896,51.146,50.737,247.164
2021-04-15,286.37,49.995,50.018,244.207
2021-04-16,288.146,50.32,49.431,243.856
2021-04-19,290.821,50.72,49.962,247.423
2021-04-20,297.229,52.091,51.073,253.62
2021-04-21,295.26,51.505,50.946,251.612
2021-04-22,296.383,52.047,50.929,252.036
2021-04-23,291.647,51.163,50.392,248.545
2021-04-26,290.17,51.143,50.562,250.292
2021-04-27,291.132,51.534,50.716,250.993
2021-04-28,287.511,50.806,50.685,251.538
2021-04-29,284.104,50.039,50.151,249.259
